iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,10,1.04
0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,90,1.11
0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,90,1.12
0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,90,1.12
0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,10,1.13
0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,10,1.13
0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,90,1.13
1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,90,1.14
1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,90,1.14
0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,90,1.14
0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,10,1.14
0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,90,1.16
0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,90,1.16
1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,10,1.17
0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,10,1.18
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,10,1.18
0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,10,1.21
0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,10,1.21
0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,90,1.23
1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,10,1.24
