OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,weight,selected
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.571429,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.485714,1
0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0.857143,0
1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2.142857,1
0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0.857143,0
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1.959184,1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.857143,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.785714,1
1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1.52381,1
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0.857143,0
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2.342857,1
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2.428571,1
1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1.285714,1
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2.142857,1
1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,2.142857,1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.857143,1
0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1.857143,1
1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1.571429,1
1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1.714286,1
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2.142857,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1.714286,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.714286,1
1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1.0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.857143,1
1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1.857143,1
