auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,weight,selected
0,0,0,1,1,0,0,1,0,1,0,0,1.083333,0
0,0,1,1,1,0,0,0,0,0,0,0,1.083333,0
0,0,0,0,1,0,0,0,0,0,0,1,1.5,0
0,0,1,0,1,0,0,0,0,0,0,1,1.083333,0
0,0,1,0,1,0,0,0,0,0,0,0,1.083333,0
1,0,0,0,1,0,0,1,0,1,0,0,1.541667,1
0,0,0,0,1,0,0,1,0,0,0,1,1.458333,0
1,0,0,0,1,0,0,0,0,0,0,1,1.541667,1
1,0,0,0,0,0,1,1,1,1,0,0,0.666667,0
1,0,0,0,0,0,1,1,1,0,0,0,0.666667,0
1,0,0,1,0,0,1,1,0,0,1,0,2.222222,1
0,0,1,1,0,0,0,1,0,1,0,1,1.0,0
1,0,0,0,0,0,0,0,0,0,0,1,2.333333,1
1,0,0,0,0,0,0,0,0,0,1,0,1.333333,0
1,0,0,0,0,0,0,0,0,0,0,0,1.916667,1
1,0,0,0,1,0,0,1,0,0,0,1,2.166667,1
1,0,0,0,1,0,0,1,0,1,0,1,1.333333,0
0,0,0,1,0,0,1,1,0,1,1,0,1.0,0
0,0,1,0,0,0,0,0,0,0,0,0,1.0,0
0,0,1,0,0,0,1,1,0,0,1,0,1.0,0
0,0,0,0,0,0,0,1,0,0,0,0,1.0,0
0,0,0,1,0,0,0,0,0,0,1,1,1.0,0
1,0,0,0,0,0,0,1,0,0,1,0,1.916667,1
0,0,0,1,0,0,0,0,0,0,1,0,1.0,0
0,0,1,0,0,0,0,1,0,0,0,0,1.833333,1
0,0,0,0,0,0,1,0,0,1,0,0,1.833333,1
0,0,1,0,0,0,0,0,0,0,0,1,1.833333,1
1,0,0,0,0,0,0,1,0,1,0,0,2.25,1
0,0,0,0,0,0,0,1,0,0,0,1,1.833333,1
0,0,0,0,0,0,0,0,0,0,0,1,1.833333,1
0,0,0,0,0,0,0,0,0,1,0,1,1.833333,1
0,0,0,0,0,0,0,0,0,1,0,0,1.833333,1
1,0,0,0,0,0,0,0,0,1,0,1,2.166667,1
1,0,0,0,1,0,0,1,0,0,1,0,2.166667,1
1,0,1,0,0,0,0,0,0,0,1,0,2.166667,1
1,0,0,0,0,0,1,0,0,1,0,0,2.166667,1
1,0,0,0,1,0,0,0,0,0,0,0,2.166667,1
