id,8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,profile,qcomp,qpmax,qpmin,rc-lookahead,ref,scenecut,subme,threads,trellis,weightb,weightp,weight,selected
1689,1,all,1,0.0520260669292369,0,0,0,11,17.913017377509092,6:-6,none,1,458,2,hex,15,0,0,cbr,1,main,0.7214316074693485,25,3,141,1,40,5,63,0,0,1,0.070175,0
1689,1,all,0,0.0520260669292369,0,0,0,11,4.787320014988849,6:-6,none,1,458,2,hex,64,0,0,cbr,1,main,0.7214316074693485,25,3,141,1,40,5,63,0,0,0,0.157895,0
1261,0,p4x4,3,0.6157864219350295,1,12,0,8,3.591106108840383,2:-2,spatial,1,435,3,dia,15,0,0,cbr,1,main,0.7214316074693485,25,3,141,7,40,5,63,1,0,0,0.789474,0
1261,0,p4x4,3,0.6157864219350295,2,12,0,-9,3.591106108840383,2:-2,spatial,1,435,3,esa,15,0,0,cbr,1,main,0.7214316074693485,25,3,141,7,40,5,63,1,0,0,0.140351,0
908,1,p4x4,3,0.6157864219350295,1,12,0,8,17.296061389240073,2:-2,spatial,1,475,3,dia,15,1,0,none,0,baseline,0.5593287975502225,36,11,141,7,40,5,9,2,1,2,0.070175,0
721,0,p8x8,3,0.8846362895873626,2,8,1,8,49.654252470083385,5:5,none,0,100,1,hex,45,0,0,none,0,baseline,0.2115404214338969,20,7,107,4,24,7,56,2,0,0,0.105263,0
721,0,p8x8,3,0.8846362895873626,2,8,1,8,49.654252470083385,5:5,none,0,100,1,hex,45,0,0,none,0,baseline,0.2115404214338969,20,5,107,4,24,7,56,2,0,0,0.105263,0
1320,1,p4x4,3,0.6157864219350295,1,12,0,8,38.687654164818326,2:-2,spatial,1,435,3,dia,15,1,0,cbr,1,main,0.7214316074693485,25,3,141,7,40,5,63,1,0,2,0.035088,0
1320,1,p4x4,3,0.6157864219350295,1,12,0,8,17.296061389240073,2:-2,spatial,1,475,3,dia,15,1,0,cbr,1,baseline,0.5593287975502225,25,3,141,7,40,5,9,2,1,2,0.035088,0
908,1,p4x4,3,0.6157864219350295,1,12,0,8,17.296061389240073,2:-2,spatial,1,475,3,dia,15,1,0,none,1,baseline,0.5593287975502225,25,11,141,7,40,5,9,2,1,2,0.035088,0
1261,0,p4x4,3,0.6157864219350295,2,12,0,-9,3.591106108840383,2:-2,temporal,0,435,3,esa,15,0,0,cbr,1,main,0.7214316074693485,25,3,141,7,40,5,63,2,0,0,1.210526,0
1689,1,all,0,0.0520260669292369,2,0,0,11,4.787320014988849,6:-6,none,0,458,2,hex,64,0,0,cbr,1,main,0.7214316074693485,25,3,141,1,40,5,9,2,1,2,0.157895,0
1689,1,all,0,0.0520260669292369,0,0,0,11,4.787320014988849,6:-6,none,1,458,2,hex,64,0,0,cbr,1,main,0.7214316074693485,25,3,141,1,40,5,63,0,0,2,0.140351,0
908,1,p4x4,3,0.6157864219350295,1,12,0,8,17.296061389240073,2:-2,spatial,1,475,3,dia,15,1,0,none,0,baseline,0.5593287975502225,36,20,141,7,40,5,9,2,1,2,0.052632,0
1689,0,p4x4,3,0.6157864219350295,1,12,0,8,3.591106108840383,2:-2,spatial,1,435,3,dia,15,0,0,cbr,0,main,0.7214316074693485,25,3,141,7,89,5,63,0,0,0,0.157895,0
1261,0,p4x4,3,0.6157864219350295,2,12,0,-9,3.591106108840383,2:-2,temporal,0,435,3,dia,15,0,0,cbr,1,main,0.7214316074693485,25,3,141,7,40,5,63,2,0,0,1.526316,0
2087,0,"p8x8,b8x8,i8x8,i4x4",3,0.8846362895873626,2,12,0,-9,3.591106108840383,2:-2,spatial,1,435,3,esa,15,0,0,cbr,1,main,0.7214316074693485,25,3,141,7,40,5,63,1,0,0,0.22807,0
1689,1,all,0,0.0520260669292369,2,0,0,11,4.787320014988849,4:4,none,0,175,2,hex,64,0,0,cbr,1,main,0.7214316074693485,25,3,141,1,40,5,9,2,1,2,0.807018,0
1261,0,all,3,0.6157864219350295,2,12,0,8,40.53996910928621,2:-2,spatial,1,435,3,dia,15,0,0,cbr,0,main,0.7214316074693485,25,3,141,1,40,5,63,0,0,1,0.070175,0
1689,0,p4x4,3,0.6157864219350295,1,12,0,8,3.591106108840383,2:-2,spatial,1,435,3,dia,15,0,0,cbr,1,main,0.7214316074693485,25,3,141,2,40,1,63,1,0,0,0.070175,0
908,0,p4x4,0,0.0520260669292369,1,0,0,11,38.77276667599533,4:4,none,0,175,2,hex,23,0,0,cbr,1,main,0.8970525133225481,25,3,141,1,40,6,9,2,1,2,0.842105,1
875,1,all,0,0.0520260669292369,2,0,0,11,4.787320014988849,4:4,none,0,160,2,hex,45,0,0,none,0,baseline,0.2115404214338969,20,7,107,4,24,7,56,2,0,1,0.175439,0
1689,1,all,2,0.0520260669292369,2,0,0,11,4.787320014988849,6:-6,none,0,116,2,hex,64,0,0,cbr,1,main,0.7214316074693485,25,3,141,1,40,5,63,1,0,0,0.210526,0
2087,0,"p8x8,b8x8,i8x8,i4x4",2,0.8846362895873626,2,12,0,-9,35.907920877302935,2:-2,spatial,1,435,3,esa,15,0,0,cbr,1,main,0.7214316074693485,25,3,141,11,40,5,63,1,0,0,0.140351,0
1689,1,all,1,0.0520260669292369,2,0,0,11,4.787320014988849,4:4,none,0,175,2,hex,64,0,1,cbr,1,main,0.8976083969310099,25,3,141,1,40,5,9,2,1,2,0.105263,0
1448,1,p4x4,2,0.0520260669292369,2,0,0,11,4.787320014988849,6:-6,none,0,116,2,hex,64,0,0,cbr,1,main,0.7334238593495189,25,3,141,1,40,5,63,1,1,2,0.157895,0
1261,1,all,0,0.0520260669292369,2,0,0,11,4.787320014988849,4:4,none,0,160,2,hex,45,0,0,none,0,baseline,0.2115404214338969,20,7,107,4,24,7,49,2,0,1,0.877193,0
1261,0,p4x4,0,0.0520260669292369,1,0,0,11,38.77276667599533,4:4,none,0,175,2,hex,23,0,0,cbr,1,main,0.8970525133225481,29,3,141,1,40,6,9,2,1,2,0.157895,0
1689,1,all,0,0.0520260669292369,2,0,0,11,4.787320014988849,4:4,none,0,175,2,hex,64,0,0,cbr,1,main,0.7214316074693485,25,3,141,1,40,5,63,1,0,2,0.105263,0
1261,0,p4x4,3,0.6157864219350295,2,12,0,-9,3.591106108840383,2:-2,temporal,0,224,3,dia,15,0,0,cbr,1,main,0.7214316074693485,25,3,141,7,3,5,63,2,0,2,1.54386,0
90,0,none,1,1.1636243255741512,1,5,0,2,35.98701195494213,2:-2,spatial,1,435,3,esa,15,0,0,cbr,0,baseline,0.7214316074693485,25,3,141,12,40,5,63,1,0,0,0.122807,0
1261,1,p4x4,3,0.6157864219350295,1,12,0,6,3.591106108840383,2:-2,none,0,175,2,hex,64,0,0,cbr,1,main,0.7214316074693485,25,3,141,1,40,5,9,2,0,2,0.807018,1
1689,1,all,0,0.0520260669292369,2,0,0,11,4.787320014988849,4:4,none,0,175,2,hex,64,0,0,none,0,baseline,0.2115404214338969,20,7,107,4,24,7,49,2,0,1,0.807018,1
1689,1,all,0,0.0520260669292369,2,0,1,11,4.787320014988849,4:4,none,0,175,2,hex,64,0,0,cbr,1,baseline,0.2115404214338969,20,7,107,4,24,7,49,2,0,1,0.473684,0
1261,0,p4x4,3,0.6157864219350295,2,12,0,-9,3.591106108840383,2:-2,temporal,0,224,3,dia,40,0,0,cbr,1,main,0.7214316074693485,25,3,141,1,40,0,37,0,0,2,1.298246,0
1158,0,p4x4,1,0.6157864219350295,2,12,0,-9,3.591106108840383,2:-2,temporal,0,224,3,dia,15,0,0,cbr,1,main,0.7214316074693485,25,3,141,7,3,2,63,2,0,2,1.473684,1
1261,0,p4x4,3,0.6157864219350295,1,12,0,-9,3.591106108840383,2:-2,temporal,0,224,3,umh,15,0,0,cbr,1,main,0.7214316074693485,25,3,141,7,3,5,63,2,0,2,1.333333,1
2087,0,"p8x8,b8x8,i8x8,i4x4",0,0.8846362895873626,2,12,0,-9,3.591106108840383,2:-2,temporal,0,224,3,dia,40,0,0,none,1,main,0.7214316074693485,25,3,141,1,40,3,37,0,0,2,1.333333,0
1261,0,p4x4,3,0.6157864219350295,2,10,0,-9,3.591106108840383,-6:6,temporal,0,224,3,dia,11,1,0,cbr,1,main,0.7214316074693485,30,3,141,1,40,4,63,0,0,1,1.070175,1
1261,0,p4x4,3,0.6157864219350295,2,12,0,-2,3.591106108840383,2:-2,temporal,0,435,3,dia,8,0,0,none,1,main,0.2892118132152554,25,3,141,7,40,5,38,2,0,0,1.385965,0
1261,0,p4x4,3,0.6157864219350295,2,12,0,-9,3.591106108840383,2:-2,temporal,0,435,3,dia,15,0,0,none,1,main,0.7214316074693485,25,3,141,7,40,5,63,1,0,0,1.385965,1
1892,0,p4x4,3,0.6157864219350295,1,12,0,-9,3.591106108840383,2:-2,temporal,0,435,4,dia,11,1,0,cbr,1,main,0.7214316074693485,30,3,141,1,67,5,63,0,0,1,1.315789,1
1261,0,p4x4,3,0.6252271957400338,2,12,0,-9,3.591106108840383,2:-2,temporal,0,224,3,dia,15,0,0,cbr,1,main,0.7214316074693485,31,3,141,7,3,2,63,2,0,2,1.473684,0
1261,0,all,3,0.6157864219350295,1,12,0,-9,3.591106108840383,1:1,temporal,1,224,3,tesa,15,0,0,cbr,1,main,0.7214316074693485,25,3,141,7,40,5,63,2,0,0,1.280702,1
1261,0,p8x8,3,0.6157864219350295,2,12,0,-9,3.591106108840383,2:-2,temporal,0,435,1,dia,15,0,0,cbr,1,main,0.7214316074693485,25,3,141,7,3,5,63,2,0,2,1.298246,1
1261,0,p4x4,3,0.6157864219350295,2,12,0,-2,3.591106108840383,2:-2,temporal,0,435,3,dia,8,0,0,none,1,main,0.7214316074693485,25,3,141,1,69,5,63,0,0,0,1.385965,0
1261,0,p4x4,3,0.3322388140761982,0,10,0,-9,3.591106108840383,-6:6,temporal,0,252,3,tesa,15,1,0,cbr,1,main,0.7214316074693485,25,6,141,7,3,5,63,2,0,2,1.403509,1
1261,0,all,3,0.6157864219350295,1,12,0,-9,3.591106108840383,1:1,temporal,1,365,3,dia,15,0,0,cbr,1,main,0.7214316074693485,31,3,250,7,3,2,63,2,0,2,1.210526,0
