NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
1,0,0,0,0,1,0,0,1,1,0,1,1,8,8,0,2.0,1
0,0,0,0,0,0,1,0,0,1,0,1,1,22,8,1,2.0,1
0,0,0,0,0,0,0,0,1,1,0,1,1,8,8,1,2.0,1
0,0,0,0,0,0,0,0,1,1,0,1,1,8,8,0,2.0,1
0,0,1,0,0,0,0,1,0,1,0,1,1,22,8,1,2.0,1
0,0,0,0,0,0,0,0,1,1,0,1,1,22,8,1,2.0,1
0,1,0,0,1,0,0,0,0,1,0,0,0,22,8,0,1.0,1
0,1,0,0,1,0,0,0,0,1,0,0,0,22,8,1,1.0,1
0,0,0,1,0,0,1,0,0,1,0,0,0,48,160,0,1.0,1
0,0,0,0,0,0,0,1,0,0,0,1,1,22,8,1,1.0,1
0,0,0,0,0,0,0,0,1,0,0,1,1,8,8,1,1.5,1
1,0,0,0,0,0,0,0,1,1,0,0,1,8,8,1,1.5,1
0,0,0,0,0,0,0,0,1,0,0,0,1,8,320,0,1.5,1
0,0,0,0,0,0,0,0,1,0,0,0,1,22,8,1,1.5,1
