NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,workload
1,1,0,0,0,0,0,0,1,0,0,0,0,8,8,0,speech.wav
0,0,0,1,0,0,0,0,1,0,0,0,0,8,8,0,speech.wav
0,0,1,0,0,1,0,0,1,1,0,1,1,8,8,0,speech.wav
1,1,0,0,1,0,0,0,0,1,0,1,0,22,8,0,speech.wav
1,0,1,0,0,0,0,0,1,1,0,1,1,22,8,0,speech.wav
0,1,1,0,1,0,0,0,0,1,0,1,0,22,8,0,speech.wav
0,0,0,1,0,0,0,0,1,1,0,0,0,22,8,0,speech.wav
1,1,1,0,0,0,0,1,0,1,0,1,0,48,8,2,speech.wav
0,1,0,0,0,0,0,0,0,1,1,0,0,44,320,0,speech.wav
0,0,1,1,0,0,0,0,0,1,1,0,0,44,160,0,speech.wav
0,1,0,0,0,1,0,1,0,0,0,0,0,44,160,0,speech.wav
1,1,1,0,0,1,0,0,0,1,1,1,0,44,160,0,speech.wav
0,0,1,0,0,1,0,0,1,1,0,0,1,48,160,0,speech.wav
1,0,1,0,0,0,0,0,1,1,0,0,0,44,320,0,speech.wav
0,0,1,1,0,1,1,0,1,0,0,0,0,8,8,0,speech.wav
0,0,1,1,0,1,0,0,1,1,0,0,1,48,160,0,speech.wav
1,1,0,0,0,1,0,0,1,0,0,0,0,44,160,0,speech.wav
0,1,1,0,1,0,0,0,1,1,0,0,1,22,8,0,speech.wav
1,0,0,0,0,0,1,0,1,0,1,0,0,44,160,0,speech.wav
0,0,1,0,0,1,0,1,1,1,0,0,0,44,160,0,speech.wav
1,1,1,0,0,0,0,0,1,1,0,1,0,8,8,0,dual-channel.wav
1,1,0,0,0,0,0,0,1,1,0,1,0,8,8,0,dual-channel.wav
0,0,0,1,0,0,0,0,1,0,0,0,0,8,8,1,dual-channel.wav
0,0,0,1,0,0,0,0,1,0,0,0,0,8,8,2,dual-channel.wav
0,0,0,1,0,0,0,0,1,1,0,0,0,8,8,0,dual-channel.wav
0,0,1,1,0,1,1,0,0,0,0,0,0,22,160,0,dual-channel.wav
0,0,0,1,0,0,0,0,1,0,0,0,0,8,8,0,dual-channel.wav
0,0,0,1,0,0,0,0,1,0,0,0,0,8,8,0,dual-channel.wav
1,1,0,0,0,0,0,0,0,1,1,1,0,22,8,0,dual-channel.wav
0,0,1,0,0,1,0,0,1,1,0,1,1,8,8,0,dual-channel.wav
0,0,1,0,0,1,0,0,1,1,0,1,1,8,8,0,dual-channel.wav
1,1,0,0,0,0,0,0,1,0,0,0,0,8,8,0,dual-channel.wav
1,1,0,0,0,0,0,0,1,0,0,0,0,8,8,0,dual-channel.wav
1,0,1,0,0,0,0,0,1,1,0,1,1,22,8,0,dual-channel.wav
1,0,1,0,0,0,0,0,1,1,0,1,1,22,8,0,dual-channel.wav
1,1,0,0,1,0,0,0,0,1,0,1,0,22,8,0,dual-channel.wav
1,1,0,0,1,0,0,0,0,1,0,1,0,22,8,0,dual-channel.wav
1,1,1,0,0,0,0,0,0,1,1,1,0,22,8,0,dual-channel.wav
0,0,1,0,0,1,0,1,0,1,0,1,1,22,8,0,dual-channel.wav
0,0,0,1,0,0,0,1,0,0,0,0,0,44,8,0,dual-channel.wav
