auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,weight,selected
0,0,0,0,0,1,1,0,0,0,1,0,1.177767,1
0,0,0,0,0,1,0,0,0,0,1,0,1.177767,1
1,0,0,0,0,0,0,0,0,0,1,1,1.177767,1
1,0,0,0,0,0,0,0,0,0,1,0,2.5852,1
1,0,0,0,0,0,1,1,0,0,1,0,2.5852,1
1,0,0,0,0,0,1,1,0,0,1,1,1.177767,1
1,0,0,0,1,0,0,0,0,0,1,0,1.877783,1
0,0,0,0,0,0,0,0,0,0,0,1,1.177767,1
0,0,0,0,0,0,0,0,0,1,0,0,1.177767,1
0,0,0,0,0,0,0,1,0,1,0,0,1.177767,1
1,1,0,0,0,0,0,0,0,0,1,1,1.5778,1
1,0,0,1,0,0,0,0,0,0,1,0,2.288917,1
1,0,0,0,0,0,0,0,0,0,0,1,2.288917,1
1,1,1,1,1,0,1,0,0,1,1,0,2.288917,1
1,0,1,1,0,0,0,0,0,1,0,0,2.288917,1
1,1,0,0,1,0,0,0,0,0,1,1,2.288917,1
1,1,0,0,0,0,0,1,0,1,0,0,2.288917,1
1,1,1,1,1,0,0,0,0,0,1,1,2.000033,1
1,1,0,1,0,0,0,0,0,1,1,1,2.000033,1
