id,8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,profile,qcomp,qpmax,qpmin,rc-lookahead,ref,scenecut,subme,threads,trellis,weightb,weightp,weight,selected
1689,1,all,1,0.0520260669292369,0,0,0,11,17.913017377509092,6:-6,none,1,458,2,hex,15,0,0,cbr,1,main,0.7214316074693485,25,3,141,1,40,5,63,0,0,1,0.065574,0
1689,1,all,0,0.0520260669292369,0,0,0,11,4.787320014988849,6:-6,none,1,458,2,hex,64,0,0,cbr,1,main,0.7214316074693485,25,3,141,1,40,5,63,0,0,0,0.147541,0
1261,0,p4x4,3,0.6157864219350295,1,12,0,8,3.591106108840383,2:-2,spatial,1,435,3,dia,15,0,0,cbr,1,main,0.7214316074693485,25,3,141,7,40,5,63,1,0,0,0.737705,1
1261,0,p4x4,3,0.6157864219350295,2,12,0,-9,3.591106108840383,2:-2,spatial,1,435,3,esa,15,0,0,cbr,1,main,0.7214316074693485,25,3,141,7,40,5,63,1,0,0,0.131148,0
908,1,p4x4,3,0.6157864219350295,1,12,0,8,17.296061389240073,2:-2,spatial,1,475,3,dia,15,1,0,none,0,baseline,0.5593287975502225,36,11,141,7,40,5,9,2,1,2,0.065574,0
721,0,p8x8,3,0.8846362895873626,2,8,1,8,49.654252470083385,5:5,none,0,100,1,hex,45,0,0,none,0,baseline,0.2115404214338969,20,7,107,4,24,7,56,2,0,0,0.098361,0
721,0,p8x8,3,0.8846362895873626,2,8,1,8,49.654252470083385,5:5,none,0,100,1,hex,45,0,0,none,0,baseline,0.2115404214338969,20,5,107,4,24,7,56,2,0,0,0.098361,0
1320,1,p4x4,3,0.6157864219350295,1,12,0,8,38.687654164818326,2:-2,spatial,1,435,3,dia,15,1,0,cbr,1,main,0.7214316074693485,25,3,141,7,40,5,63,1,0,2,0.032787,0
1320,1,p4x4,3,0.6157864219350295,1,12,0,8,17.296061389240073,2:-2,spatial,1,475,3,dia,15,1,0,cbr,1,baseline,0.5593287975502225,25,3,141,7,40,5,9,2,1,2,0.032787,0
908,1,p4x4,3,0.6157864219350295,1,12,0,8,17.296061389240073,2:-2,spatial,1,475,3,dia,15,1,0,none,1,baseline,0.5593287975502225,25,11,141,7,40,5,9,2,1,2,0.032787,0
