auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,weight,selected
1,0,0,0,1,0,1,0,0,1,1,0,1.333367,0
1,0,1,1,0,0,0,1,0,1,0,1,2.300017,1
1,0,0,0,1,0,0,0,0,1,0,0,2.2889,1
1,0,0,0,1,0,0,1,0,1,0,0,2.2889,1
1,1,1,0,1,0,1,1,1,1,1,1,1.333367,1
1,1,1,0,0,0,1,1,1,1,1,0,1.333367,0
1,1,1,0,0,0,1,1,1,1,1,1,1.333367,0
0,0,0,1,0,0,0,1,0,1,0,0,1.333367,1
0,0,0,0,1,0,0,0,0,1,0,0,1.837033,1
1,0,0,0,1,0,1,1,1,1,1,0,1.333367,1
0,0,0,1,0,0,0,0,1,1,1,0,1.4222,1
0,0,0,0,0,1,1,0,0,0,1,0,1.4222,1
0,1,1,0,0,1,1,1,0,1,1,1,1.4222,1
0,0,1,1,0,1,1,1,1,0,1,0,1.4222,1
0,0,1,0,0,1,1,1,1,1,1,0,1.4222,1
0,1,1,1,0,1,1,1,1,0,1,0,1.4222,1
0,1,1,1,0,1,1,1,1,1,1,1,1.4222,1
0,0,0,0,1,0,0,0,0,0,0,0,1.4222,1
1,0,0,1,1,0,0,0,0,1,0,0,1.933333,1
1,0,0,0,0,0,0,0,0,1,0,0,1.933333,1
1,0,0,0,0,0,0,1,0,1,0,0,1.933333,1
1,0,0,1,0,0,0,0,0,1,0,0,1.933333,1
1,0,0,0,1,0,0,1,0,1,0,1,1.933333,1
