OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,weight,selected
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2.7689,1
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2.7689,1
1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1.399967,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.399967,1
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1.399967,1
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1.399967,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1.399967,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.0815,1
0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1.399967,1
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1.399967,1
0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2.444467,1
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.7556,1
0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1.7556,1
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2.444467,1
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2.133333,1
0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2.133333,1
0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2.133333,1
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2.133333,1
