encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,weight,selected
0,1,1,0,0,0,0,1,0,0,0,2.555556,1
0,0,0,0,1,0,0,0,0,1,0,2.666667,1
0,0,0,0,1,0,0,0,1,0,1,2.444444,1
0,0,0,0,0,1,0,1,0,0,0,2.111111,1
1,1,0,0,1,0,0,0,0,1,0,1.777778,0
0,0,0,1,0,0,0,1,1,0,0,2.444444,1
0,1,0,1,0,0,0,1,0,0,0,2.666667,1
0,0,0,0,0,1,0,1,0,1,0,1.888889,1
0,0,0,1,0,0,0,1,1,1,0,1.222222,0
1,1,0,0,1,0,0,0,0,0,1,2.0,1
0,1,0,0,0,0,1,0,0,1,0,2.444444,1
1,0,0,0,0,0,1,0,0,1,0,1.333333,0
1,1,0,0,1,0,0,0,0,0,0,2.111111,1
1,0,0,1,0,0,0,0,1,1,0,2.333333,1
1,1,0,0,0,0,1,0,0,0,0,1.444444,0
0,0,1,0,0,0,0,1,1,1,0,1.444444,0
0,1,0,0,1,0,0,0,0,0,1,2.0,1
0,1,0,0,1,0,0,0,0,0,0,2.222222,1
1,0,0,0,1,0,0,0,1,0,0,2.333333,1
0,1,0,0,0,1,0,0,0,0,0,1.888889,1
0,0,0,0,1,0,0,0,1,0,0,2.111111,1
1,1,0,1,0,0,0,0,0,0,0,2.0,1
1,0,0,0,1,0,0,0,1,0,1,2.444444,1
0,1,0,0,1,0,0,0,1,0,1,2.333333,1
1,0,0,1,0,0,0,1,0,1,0,2.222222,1
