auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,weight,selected
1,1,1,1,1,1,1,0,0,0,1,1,1.266667,0
1,1,1,1,0,1,0,0,0,0,0,0,1.266667,0
1,1,1,1,1,1,0,0,0,0,0,0,1.266667,0
1,1,1,1,1,1,1,0,0,1,1,0,1.266667,0
1,1,1,1,1,1,1,1,0,1,1,1,1.266667,0
1,1,1,1,1,1,1,0,0,0,0,0,1.266667,0
1,1,1,1,1,1,1,0,0,0,1,0,1.266667,0
0,1,1,1,0,1,1,0,0,0,0,0,1.266667,0
1,1,1,0,1,1,1,1,0,0,0,0,1.266667,1
1,1,1,1,1,1,1,1,0,0,0,0,1.266667,1
1,0,0,1,1,0,0,0,0,0,0,0,1.5111,1
1,0,0,1,1,0,0,0,0,1,0,0,1.5111,1
0,0,0,0,1,0,0,0,0,1,0,0,1.5111,1
1,0,0,0,0,1,1,0,0,1,1,0,1.5111,1
1,0,0,0,0,1,1,0,0,0,1,0,1.5111,1
1,0,0,0,0,1,0,0,0,0,0,0,1.5111,1
1,0,0,0,0,1,0,0,0,0,1,0,1.5111,1
0,0,0,0,0,0,1,1,1,1,0,1,1.5111,1
0,0,0,0,0,1,1,0,0,1,1,0,2.166667,1
0,0,0,0,0,1,0,0,0,0,1,0,2.166667,1
0,0,1,1,0,0,0,0,0,1,1,0,1.822233,1
0,0,0,0,0,0,1,0,0,1,1,0,1.822233,1
0,1,0,1,0,0,1,0,0,0,1,0,1.822233,1
0,0,0,0,0,0,0,1,1,0,1,0,1.822233,1
0,0,1,1,1,1,1,0,0,0,1,0,1.822233,1
0,0,0,1,1,1,1,0,0,0,1,0,1.822233,1
0,0,0,0,0,1,1,0,0,0,1,1,1.822233,1
0,0,0,0,0,1,0,1,0,1,0,0,1.822233,1
