iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,workload
1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,90,psd-medium
0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,90,psd-medium
0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,90,psd-medium
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,90,psd-medium
0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,90,psd-medium
0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,90,psd-medium
0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,90,psd-medium
0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,90,psd-medium
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,90,psd-medium
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,90,psd-medium
0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,90,psd-small
1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,90,psd-small
1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,90,psd-small
0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,90,psd-small
0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,90,psd-small
1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,90,psd-small
0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,90,psd-small
1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,90,psd-small
0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,90,psd-small
0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,90,psd-small
0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,90,psd-small
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,90,psd-small
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,90,psd-small
0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,90,psd-small
0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,90,psd-small
0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,90,psd-small
0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,90,psd-small
0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,90,psd-small
0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,90,psd-small
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,90,psd-small
0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,90,svg-small
0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,90,svg-small
0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,90,svg-small
0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,90,svg-small
0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,90,svg-small
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,90,svg-small
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,90,svg-small
0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,90,svg-small
0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,90,svg-small
0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,90,svg-small
0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,90,svg-small
1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,90,svg-small
0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,90,svg-small
0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,90,svg-small
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,90,svg-small
1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,90,svg-small
0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,90,svg-small
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,90,svg-small
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,90,svg-small
0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,90,svg-small
