NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
1,0,0,1,1,1,0,0,0,1,0,1,0,8,320,0,2.644444,1
1,1,1,0,0,1,1,0,0,1,0,1,0,44,8,0,2.04,1
1,1,1,0,0,1,1,0,0,1,0,1,0,44,160,0,1.533333,1
1,0,1,0,0,1,1,0,0,1,0,1,1,44,8,0,0.6,1
1,0,0,1,0,0,0,1,0,0,0,0,0,22,8,0,0.6,1
1,0,1,1,0,0,0,1,0,0,0,1,0,22,8,0,1.4,1
1,0,1,1,0,0,0,1,0,0,0,1,0,22,8,1,0.6,1
0,0,0,0,0,0,0,0,1,1,0,0,1,44,8,0,0.6,1
0,0,0,0,0,0,0,0,1,1,0,0,1,22,8,0,0.6,1
1,0,1,1,1,1,0,0,0,1,0,1,0,22,320,0,1.533333,1
0,0,1,0,0,1,0,0,0,1,1,1,1,8,8,0,2.5,1
1,0,1,0,0,1,0,0,0,1,1,1,1,8,8,0,2.5,1
1,0,1,1,1,1,0,0,0,1,0,1,0,22,8,0,1.9,1
0,1,1,0,0,1,0,0,0,1,1,1,0,22,320,0,2.4,1
1,0,1,1,1,1,0,0,0,0,0,1,0,22,8,0,1.9,1
1,0,1,1,1,1,0,0,0,0,0,1,0,8,320,0,2.2,1
1,0,0,1,0,0,0,1,0,0,0,1,0,22,8,0,2.1,1
1,0,0,1,1,1,0,0,0,1,0,1,0,22,8,0,1.6,1
1,0,1,1,1,1,0,0,0,1,0,1,0,8,320,0,1.9,1
