iosCreateImagesetFolders,bmp,gif,android,ios,androidMipmapInsteadOfDrawable,scaleIsHeightDp,web,jpeg,floor,win,antiAliasing,skipUpscaling,androidIncludeLdpiTvdpi,png,ceil,round,threads,time
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,90,0.39
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,90,0.39
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,90,0.41
0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,10,0.42
0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,90,0.43
0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,90,0.43
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,10,0.43
1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,10,0.44
0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,10,0.44
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,10,0.44
0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,10,0.45
0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,10,0.45
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,90,0.5512917010898053
0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,10,0.5513964966088245
0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,10,0.5514045100959586
0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,90,0.551520399841579
1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,10,0.551630932298603
0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,10,0.5524882274812656
1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,90,0.5525331212054017
0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,10,0.5528117308555642
