auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,weight,selected
0,0,0,0,1,0,0,1,0,0,0,1,2.1111,1
0,0,0,0,0,0,1,1,0,0,1,1,1.2111,0
1,0,0,0,0,0,0,1,0,0,1,0,2.005567,1
0,0,0,1,1,0,0,1,0,1,0,1,2.1111,1
0,0,0,0,0,0,1,1,0,0,1,0,1.2111,0
1,0,0,0,1,0,0,1,0,0,0,1,1.2111,0
1,0,0,1,1,0,1,1,0,0,1,0,1.2111,0
0,0,0,0,0,0,1,1,0,0,0,0,2.1111,1
1,0,0,0,0,0,0,0,0,1,0,1,1.2111,0
1,0,1,0,1,0,0,0,0,0,1,0,2.005567,1
1,1,0,1,1,1,1,1,0,1,1,0,1.3944,0
0,1,1,1,1,1,1,1,0,0,1,1,1.3944,0
1,1,1,1,1,1,1,1,0,0,1,1,1.3944,0
0,1,0,1,1,1,1,1,0,0,1,1,1.3944,0
0,1,0,1,1,1,1,1,0,1,1,0,1.3944,0
1,1,1,0,1,1,1,1,0,1,1,0,1.3944,0
1,1,1,1,1,1,1,1,0,0,1,0,1.3944,0
1,1,1,0,1,1,1,1,1,1,1,0,1.3944,1
1,1,0,1,1,1,1,0,1,1,1,0,1.3944,1
1,1,1,1,0,1,1,1,1,0,0,1,1.3944,0
0,0,0,0,0,1,0,0,0,0,1,0,1.7778,1
1,0,0,0,1,0,0,1,0,0,1,0,1.7778,1
1,0,0,0,0,0,1,1,0,0,1,0,1.7778,1
1,0,0,0,0,0,0,1,0,0,1,1,1.7778,1
1,0,0,0,0,0,1,1,0,0,1,1,1.7778,1
1,0,0,0,1,0,0,0,0,0,1,0,1.7778,1
0,0,1,1,1,0,0,0,0,0,0,0,1.7611,1
0,1,1,1,1,0,0,0,0,0,0,1,1.7611,1
0,0,0,0,0,0,0,0,0,1,0,1,1.7611,1
0,0,1,1,1,0,0,1,0,0,0,0,1.7611,1
0,1,0,0,1,0,0,1,0,1,0,1,1.7611,1
0,0,1,0,1,0,0,0,0,0,0,0,1.7611,1
0,0,1,0,0,0,0,1,0,0,0,0,1.7611,1
