NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,time
0,1,0,0,0,0,0,0,0,0,1,0,0,8,8,2,2.03
0,1,0,0,0,0,0,0,1,0,0,0,0,8,8,2,2.08
1,1,1,0,0,1,0,0,0,0,1,1,0,8,8,0,2.3
0,1,0,0,0,0,0,0,1,0,0,0,0,8,8,0,2.49
1,0,1,1,0,0,0,1,0,1,0,1,0,8,8,1,2.6
0,0,0,1,0,0,0,0,0,0,1,0,0,8,8,1,2.65
0,0,0,1,0,0,0,0,0,0,1,0,0,8,8,2,2.78
0,0,0,1,0,0,0,0,0,0,1,0,0,8,8,0,2.87
0,0,0,1,0,0,0,0,0,0,1,0,0,8,8,0,2.87
0,0,0,1,0,0,0,0,0,0,1,0,0,8,160,0,3.15
1,0,1,0,1,0,0,0,0,1,0,1,1,8,8,0,3.41
1,0,1,0,0,0,0,0,1,1,0,1,1,8,8,0,3.51
1,1,1,0,0,1,0,0,0,0,1,1,0,8,320,0,3.56
1,1,1,0,0,1,0,0,0,1,1,1,0,8,320,0,3.63
1,0,0,0,0,0,0,0,1,1,0,1,1,8,8,0,5.06
1,0,1,1,0,0,0,1,0,1,0,1,0,22,8,1,6.18
1,0,1,1,0,0,0,1,0,1,0,1,0,22,8,1,6.18
0,1,0,0,0,1,0,0,0,1,1,0,0,22,160,0,6.26
0,1,1,0,0,0,1,0,0,1,0,0,0,22,160,0,6.3
0,1,1,0,0,0,1,0,0,1,0,0,0,22,160,0,6.3
