auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,weight,selected
0,0,1,1,0,0,0,1,0,1,0,0,1.6222,1
0,0,0,0,0,0,0,0,0,0,0,0,1.1222,0
1,0,1,0,0,0,0,0,0,0,0,0,1.1222,0
1,0,1,0,0,0,0,1,0,0,0,0,1.9722,1
0,0,1,0,1,0,0,1,0,1,0,1,1.1222,0
0,0,1,0,1,0,0,1,0,1,0,0,2.34556,1
0,0,0,0,0,1,1,0,0,0,1,0,1.1222,0
0,0,0,0,0,1,1,0,0,0,0,0,1.1222,0
1,0,1,1,1,1,0,1,0,1,0,1,1.1222,0
1,1,1,0,0,0,0,0,0,0,0,0,2.005533,1
0,0,1,1,1,0,0,0,0,0,0,0,1.3722,0
0,0,1,0,0,0,0,0,0,1,0,0,1.3722,0
0,0,1,1,0,0,0,1,0,0,0,1,1.3722,1
0,0,1,0,1,0,0,0,0,0,0,1,1.3722,0
0,0,1,0,0,0,0,1,0,0,0,0,1.3722,0
0,0,1,0,1,0,0,0,0,0,0,0,1.3722,0
1,1,1,0,0,0,0,0,0,0,0,1,1.8222,1
1,1,0,0,0,0,0,0,0,1,0,0,1.8222,1
1,1,0,1,0,0,0,0,0,0,0,0,1.8222,1
1,1,1,1,1,0,0,0,0,1,0,0,1.8222,1
1,1,1,1,1,0,0,1,0,0,0,1,1.8222,1
1,0,1,1,0,0,0,0,0,0,0,0,1.8222,1
1,0,1,0,0,0,0,1,0,1,0,0,1.8222,1
0,0,1,0,1,0,1,0,0,0,0,1,1.8056,1
0,0,1,0,0,0,0,0,0,0,0,0,1.8056,1
0,0,0,0,1,0,0,0,0,0,0,0,1.8056,1
0,0,0,0,0,0,0,1,0,0,0,0,1.8056,1
0,0,1,1,0,0,0,0,0,0,0,1,1.8056,1
1,0,0,1,1,0,1,0,0,0,0,0,1.8056,1
1,0,1,0,1,0,0,0,0,0,0,0,1.8056,1
0,0,0,0,1,0,0,0,0,0,0,1,1.8056,1
