auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,weight,selected
0,0,0,0,0,0,0,1,0,0,0,0,1.1,0
0,0,0,0,0,0,1,0,0,0,0,0,1.6111,0
0,0,0,1,0,0,0,1,0,0,0,0,2.1222,1
0,0,0,0,0,0,1,1,0,0,0,0,1.1,0
0,0,1,0,0,0,0,0,0,1,0,0,1.1,0
0,0,0,0,0,0,0,0,0,1,0,1,2.3722,1
0,0,1,0,0,0,0,1,0,0,0,0,2.3722,1
0,0,0,0,0,0,0,1,0,0,0,1,2.3722,1
0,0,1,0,0,0,0,0,0,0,0,0,1.1,0
0,0,1,0,0,0,1,0,0,0,0,0,1.3722,0
0,0,0,0,0,0,0,0,0,0,0,1,1.3722,0
0,0,0,0,0,0,0,0,0,1,0,0,1.3722,0
0,0,0,0,0,0,1,0,0,1,0,0,1.3722,0
0,0,1,0,0,0,0,0,0,0,0,1,1.3722,0
0,0,0,0,0,0,1,1,0,0,0,1,1.3722,0
1,0,0,0,0,0,0,0,0,1,1,1,1.8,1
1,0,1,0,0,0,0,1,0,1,0,0,1.8,1
1,0,0,0,1,0,0,1,0,1,0,1,1.8,1
1,1,0,0,0,0,0,1,0,1,0,1,1.8,1
1,0,1,0,0,0,0,1,0,0,0,0,1.8,1
1,1,0,0,0,0,0,1,0,1,0,0,1.8,1
1,0,1,0,0,0,0,1,0,1,0,1,1.8,1
1,0,0,0,1,0,0,0,0,0,0,0,1.8,1
1,0,0,0,0,0,0,0,0,1,0,0,1.8,1
1,1,1,0,0,0,0,1,0,1,0,0,1.8,1
0,0,0,1,0,0,0,0,0,1,0,0,1.8944,1
0,0,0,1,0,0,0,0,0,0,0,0,1.8944,1
0,0,0,1,0,0,0,1,0,1,0,0,1.8944,1
0,0,1,1,0,0,0,0,0,0,0,0,1.8944,1
0,0,1,1,0,0,0,0,0,1,0,0,1.8944,1
0,0,1,1,1,0,0,1,0,0,0,0,1.8944,1
