NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,time
0,1,1,0,0,1,0,0,0,0,1,1,0,8,8,0,0.69
0,0,1,1,1,0,0,0,0,1,0,1,0,8,8,1,0.9
1,0,1,0,0,1,0,0,0,1,1,0,1,8,160,0,0.9
0,0,1,0,0,1,0,0,0,1,1,1,1,8,160,0,0.92
1,0,1,0,0,1,0,0,0,1,1,1,1,8,160,0,0.94
0,1,0,0,0,0,0,0,1,0,0,0,0,8,320,0,1.0
0,1,1,0,0,1,0,0,1,1,0,0,0,8,160,0,1.04
0,0,1,0,1,0,0,0,0,0,0,1,1,8,8,1,1.12
0,1,1,0,0,1,0,0,0,0,1,0,0,22,160,0,1.21
1,1,1,0,1,1,0,0,0,1,0,1,0,22,320,0,1.29
0,0,0,1,0,0,0,0,0,1,1,1,0,22,160,0,1.54
0,0,0,1,0,0,0,0,0,0,1,0,0,48,8,1,2.0
1,0,1,0,0,0,0,0,1,0,0,1,1,22,8,2,2.3
0,0,0,0,0,0,0,0,0,1,1,1,1,22,8,2,2.32
0,0,0,1,0,0,0,0,0,0,1,0,0,48,8,0,2.38
0,0,0,0,1,0,0,0,0,1,1,1,0,22,160,0,4.8113098938726
1,1,1,0,1,0,0,1,1,0,1,0,1,48,320,1,4.811357092929781
0,0,1,0,0,1,0,0,1,1,1,1,1,8,160,0,4.8115082202108335
0,1,0,1,0,0,0,0,0,1,1,1,0,8,8,0,4.811724474780105
0,1,1,0,1,0,0,1,1,0,0,0,1,48,320,1,4.811803277115236
