OPTIMIZE_IN_SELECT,OPTIMIZE_INSERT_FROM_SELECT,OPTIMIZE_TWO_EQUALS,OPTIMIZE_IN_LIST,OPTIMIZE_EVALUATABLE_SUBQUERIES,PAGE_STORE_TRIM,RECOMPILE_ALWAYS,COMPRESS,IGNORE_CATALOGS,OPTIMIZE_OR,PAGE_STORE_INTERNAL_COUNT,REUSE_SPACE,DROP_RESTRICT,DEFRAG_ALWAYS,OPTIMIZE_DISTINCT,MVSTORE,weight,selected
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2.18885,1
0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1.851867,1
0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1.1444,0
0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1.1444,0
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1.1444,0
1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1.1444,0
1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1.1444,0
1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1.1444,1
1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1.1444,1
1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1.1444,1
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2.572233,1
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2.572233,1
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1.7056,1
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.34445,1
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2.34445,1
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1.7056,1
1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,2.1167,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.572233,1
1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2.25555,1
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2.25555,1
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.7778,1
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1.7778,1
1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1.7778,1
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2.25555,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.9833,1
