encryption,integrityCheck,bzip2,gzip,lzo,noBackend,zpaq,nice,multithreading,unlimitedWindowSize,disableLzoCompressibilityTesting,weight,selected
0,1,0,1,0,0,0,1,1,1,0,2.545455,1
0,0,0,0,0,1,0,0,1,0,0,2.636364,1
1,1,0,1,0,0,0,0,0,0,0,2.818182,1
1,0,0,0,1,0,0,0,1,0,1,2.909091,1
0,0,0,0,0,1,0,0,1,1,0,2.636364,1
0,0,1,0,0,0,0,1,1,1,0,2.272727,1
0,0,0,0,0,1,0,1,0,1,0,2.090909,1
1,0,0,0,1,0,0,1,1,1,1,1.181818,0
1,1,0,0,0,1,0,1,0,1,0,1.181818,0
1,1,0,1,0,0,0,1,1,1,0,1.181818,0
1,0,1,0,0,0,0,0,0,1,0,1.545455,0
0,0,0,0,0,1,0,0,0,1,0,1.818182,0
0,1,0,0,1,0,0,1,1,1,0,2.454545,1
0,0,0,0,1,0,0,0,0,0,1,1.636364,0
0,0,0,0,1,0,0,0,1,0,0,1.363636,0
0,0,0,1,0,0,0,1,1,0,0,1.818182,0
0,1,0,0,1,0,0,0,1,0,1,2.454545,1
1,0,0,0,1,0,0,0,1,0,0,2.272727,1
0,0,0,0,1,0,0,1,0,0,1,1.727273,0
1,1,0,0,1,0,0,0,0,0,1,1.545455,0
0,1,0,0,0,1,0,0,0,0,0,1.545455,0
0,1,1,0,0,0,0,1,0,0,0,1.636364,0
1,0,0,0,1,0,0,1,1,0,1,1.636364,0
0,0,0,0,1,0,0,0,1,0,1,1.909091,1
1,1,0,0,0,1,0,0,0,0,0,1.727273,0
0,0,0,0,0,1,0,1,0,0,0,2.272727,1
0,0,0,0,1,0,0,0,0,0,0,1.818182,1
1,1,0,0,0,1,0,1,0,0,0,1.909091,1
0,0,0,0,0,1,0,1,1,1,0,2.181818,1
1,1,0,0,1,0,0,0,0,1,0,2.0,1
0,0,0,0,1,0,0,0,0,1,0,2.0,1
1,1,0,0,1,0,0,0,0,0,0,2.181818,1
0,0,0,0,0,1,0,0,0,0,0,2.0,1
1,0,0,0,0,0,1,0,0,1,0,2.0,1
