auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,weight,selected
0,1,1,0,1,1,0,0,0,1,1,0,1.166667,0
1,1,1,1,1,1,1,1,0,1,1,0,1.166667,0
1,1,0,1,1,1,1,1,0,1,1,0,1.166667,0
0,1,1,1,1,1,1,1,0,1,1,0,1.166667,0
1,1,1,1,1,1,1,1,0,0,1,0,1.166667,0
1,1,1,1,1,1,1,1,0,1,0,1,1.166667,0
0,1,1,1,0,1,1,1,0,1,1,0,1.166667,0
0,1,1,1,0,1,0,0,1,1,1,0,1.166667,0
1,1,0,1,1,1,1,1,1,1,1,0,1.166667,0
1,1,1,1,0,1,0,0,1,1,1,0,1.166667,0
0,0,0,1,1,0,0,0,0,1,1,0,1.333333,0
0,0,0,0,0,0,0,0,0,0,1,0,1.333333,0
1,0,0,1,0,0,0,0,0,0,0,0,1.0,0
1,0,0,0,0,0,0,0,0,0,0,0,1.0,0
0,0,0,0,1,0,0,0,0,0,1,0,1.333333,0
1,0,0,1,0,0,0,0,0,0,1,0,1.0,0
0,1,0,0,0,0,0,0,0,0,0,0,1.916667,1
0,1,0,0,0,0,1,1,0,1,0,1,1.0,0
0,1,0,0,0,0,0,0,0,0,1,0,1.333333,0
0,1,1,0,0,0,0,1,0,1,0,1,1.0,0
1,0,1,1,0,0,0,1,0,1,0,1,1.333333,0
0,0,1,1,0,0,0,0,0,1,0,0,2.166667,1
1,0,1,1,0,0,0,0,0,1,0,0,1.333333,0
1,0,0,1,1,0,0,0,0,1,0,0,1.833333,1
0,0,0,0,0,1,0,0,0,1,1,0,1.333333,0
0,0,1,0,0,1,0,0,0,1,0,0,1.333333,1
1,1,0,1,0,0,0,0,0,1,0,0,1.833333,1
0,1,0,1,0,0,0,1,0,1,0,1,2.166667,1
1,1,1,0,0,1,1,1,0,0,1,0,1.333333,0
1,1,1,1,0,1,1,1,0,1,1,0,1.333333,1
0,0,1,1,1,0,0,0,0,1,1,0,1.0,0
0,0,0,0,0,0,0,0,0,1,1,0,1.583333,1
0,0,0,0,0,0,0,1,0,1,1,0,1.583333,1
0,0,1,1,0,0,0,0,0,0,1,0,1.583333,1
0,0,1,1,0,0,0,0,0,1,1,0,1.583333,1
0,1,1,1,1,0,0,0,0,1,1,0,1.583333,1
0,0,0,0,0,0,0,0,0,1,0,1,2.0,1
0,0,0,1,0,0,0,0,0,1,0,0,2.0,1
0,1,0,0,0,0,0,0,0,1,0,0,2.0,1
0,0,0,1,0,0,0,1,0,1,0,0,2.0,1
0,0,0,0,0,0,1,0,0,0,0,1,2.0,1
1,0,0,0,0,0,0,0,0,1,0,0,2.0,1
1,0,0,1,0,0,0,0,0,1,0,0,2.0,1
1,1,1,1,1,0,0,0,0,0,1,0,1.5,1
