id,8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,profile,qcomp,qpmax,qpmin,rc-lookahead,ref,scenecut,subme,threads,trellis,weightb,weightp,EncodeTime
1689,1,all,1,0.0520260669292369,0,0,0,11,17.913017377509092,6:-6,none,1,458,2,hex,15,0,0,cbr,1,main,0.7214316074693485,25,3,141,1,40,5,63,0,0,1,6.28
1689,1,all,0,0.0520260669292369,0,0,0,11,4.787320014988849,6:-6,none,1,458,2,hex,64,0,0,cbr,1,main,0.7214316074693485,25,3,141,1,40,5,63,0,0,0,6.28
1261,0,p4x4,3,0.6157864219350295,1,12,0,8,3.591106108840383,2:-2,spatial,1,435,3,dia,15,0,0,cbr,1,main,0.7214316074693485,25,3,141,7,40,5,63,1,0,0,6.3
1261,0,p4x4,3,0.6157864219350295,2,12,0,-9,3.591106108840383,2:-2,spatial,1,435,3,esa,15,0,0,cbr,1,main,0.7214316074693485,25,3,141,7,40,5,63,1,0,0,6.71
908,1,p4x4,3,0.6157864219350295,1,12,0,8,17.296061389240073,2:-2,spatial,1,475,3,dia,15,1,0,none,0,baseline,0.5593287975502225,36,11,141,7,40,5,9,2,1,2,7.88
721,0,p8x8,3,0.8846362895873626,2,8,1,8,49.654252470083385,5:5,none,0,100,1,hex,45,0,0,none,0,baseline,0.2115404214338969,20,7,107,4,24,7,56,2,0,0,8.4
721,0,p8x8,3,0.8846362895873626,2,8,1,8,49.654252470083385,5:5,none,0,100,1,hex,45,0,0,none,0,baseline,0.2115404214338969,20,5,107,4,24,7,56,2,0,0,8.4
1320,1,p4x4,3,0.6157864219350295,1,12,0,8,38.687654164818326,2:-2,spatial,1,435,3,dia,15,1,0,cbr,1,main,0.7214316074693485,25,3,141,7,40,5,63,1,0,2,10.2
1320,1,p4x4,3,0.6157864219350295,1,12,0,8,17.296061389240073,2:-2,spatial,1,475,3,dia,15,1,0,cbr,1,baseline,0.5593287975502225,25,3,141,7,40,5,9,2,1,2,10.2
908,1,p4x4,3,0.6157864219350295,1,12,0,8,17.296061389240073,2:-2,spatial,1,475,3,dia,15,1,0,none,1,baseline,0.5593287975502225,25,11,141,7,40,5,9,2,1,2,10.2
1320,1,p4x4,0,0.2417184822950411,1,12,0,8,38.687654164818326,2:-2,spatial,1,435,3,dia,15,1,0,cbr,1,main,0.7214316074693485,25,3,141,12,40,5,63,1,0,2,10.2
76,0,p8x8,1,0.6295137611273145,2,0,1,9,29.58495568862226,4:4,spatial,0,51,0,dia,54,0,1,none,0,baseline,0.6493532546000097,48,4,92,2,80,0,2,0,0,0,12.11
1927,1,all,0,0.6295137611273145,2,0,1,-9,29.58495568862226,4:4,spatial,0,51,0,dia,54,0,1,none,0,baseline,0.6493532546000097,48,4,92,2,80,0,2,0,0,0,12.11
1660,0,none,2,1.3653973567571176,0,9,0,-9,29.58495568862226,4:4,spatial,0,51,0,dia,54,0,0,none,0,baseline,0.6493532546000097,48,4,92,2,80,0,2,0,0,0,12.11
76,0,p8x8,2,0.6295137611273145,2,0,1,9,29.58495568862226,3:-3,spatial,0,51,0,dia,54,0,0,none,0,baseline,0.6493532546000097,48,4,92,2,80,0,2,0,0,0,12.11
1927,1,all,0,0.6295137611273145,2,0,1,-9,41.62378391495786,4:4,spatial,0,51,0,dia,54,0,1,none,0,baseline,0.6493532546000097,48,4,92,2,80,0,2,0,1,0,12.11
2233,1,none,1,1.3653973567571176,1,9,1,9,29.58495568862226,4:4,spatial,0,51,3,dia,54,0,1,none,0,baseline,0.6493532546000097,48,4,199,2,80,0,2,0,0,0,12.11
76,1,p8x8,0,0.6295137611273145,2,0,1,5,47.08960603059764,4:4,spatial,0,51,0,dia,54,0,1,none,0,baseline,0.6493532546000097,48,4,92,2,80,0,2,0,1,0,12.11
1927,1,all,2,0.6295137611273145,2,0,1,9,29.58495568862226,3:-3,spatial,0,51,0,dia,54,1,0,none,0,baseline,0.6493532546000097,48,4,92,2,71,0,2,0,0,1,12.11
2233,1,none,1,1.3653973567571176,1,9,0,9,29.58495568862226,4:4,spatial,0,51,3,dia,54,0,1,cbr,0,baseline,0.4381489581196525,48,4,235,2,80,0,2,0,0,1,12.11
