NoRes,NoReplayGain,Downmix,ReplayGainFast,MidSideStereo,Freeformat,Mono,DualChannels,Stereo,CRC,JointStereo,SwapBytes,ReplayGainAccurate,Resampling,CBR,VBRRange,weight,selected
0,0,0,1,0,0,1,0,0,1,0,1,0,8,8,1,3.0,1
0,0,0,1,1,0,0,0,0,1,0,0,0,8,8,1,3.0,1
0,1,0,0,0,0,0,0,0,1,1,1,0,22,160,0,2.0,1
0,0,0,0,1,0,0,0,0,1,0,0,1,8,8,1,3.0,1
0,1,0,0,1,0,0,0,0,1,0,0,0,22,8,1,2.0,1
0,1,1,0,0,1,0,0,0,0,1,0,0,22,160,0,2.0,1
1,1,1,0,0,0,0,0,0,1,1,0,0,44,8,1,3.0,1
1,0,0,0,0,0,1,0,0,1,0,0,1,22,8,1,2.0,1
0,0,0,0,0,0,0,0,0,1,1,0,1,22,160,0,2.0,1
0,0,0,1,0,0,1,0,0,0,0,1,0,22,160,0,2.0,1
1,1,1,0,1,0,0,0,0,1,0,0,0,8,8,0,2.5,1
0,0,0,1,1,0,0,0,0,0,0,0,0,8,8,1,2.5,1
