auto_config,debug_ref_count,dump_models,model,model_validate,proof,smtlib2_compliant,stats,trace,type_check,unsat_core,well_sorted_check,weight,selected
0,0,0,0,0,0,0,0,0,1,0,1,1.266667,0
0,0,0,0,0,0,0,1,0,0,0,0,1.266667,0
1,0,1,0,0,0,0,1,0,1,0,1,1.948133,1
0,0,0,0,0,0,0,0,1,1,0,0,1.266667,1
1,0,0,0,1,0,0,0,1,1,0,1,1.266667,1
0,1,1,0,0,0,0,1,0,1,0,1,1.266667,1
1,1,1,0,1,0,1,1,0,0,0,0,1.948133,1
0,0,0,0,0,1,0,0,0,0,1,1,1.266667,1
0,0,1,1,1,1,1,1,0,1,1,0,1.266667,1
0,0,0,1,0,0,0,1,0,1,0,0,1.266667,1
1,0,0,0,0,0,0,1,0,0,0,1,1.6222,1
1,0,0,1,0,0,0,0,0,0,1,0,2.333317,1
1,1,0,0,0,0,0,1,0,1,0,1,2.333317,1
1,0,0,1,0,0,0,1,0,1,1,0,1.6222,1
1,0,0,0,0,0,0,1,0,0,1,1,2.333317,1
1,1,1,0,0,0,0,1,0,1,0,1,2.333317,1
1,0,1,1,0,1,0,1,0,1,1,0,2.044433,1
1,0,1,1,0,1,0,1,0,1,0,1,2.044433,1
1,0,1,0,0,0,0,0,0,0,1,1,2.044433,1
1,1,1,0,0,0,0,1,0,1,0,0,2.044433,1
1,1,1,0,1,0,0,1,0,1,1,0,2.044433,1
1,0,0,1,0,0,1,0,0,1,1,1,2.044433,1
