id,8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,profile,qcomp,qpmax,qpmin,rc-lookahead,ref,scenecut,subme,threads,trellis,weightb,weightp,weight,selected
378,1,p4x4,1,0.9844437172708528,0,11,0,0,18.518682570557125,5:-5,spatial,0,440,4,hex,33,1,1,none,1,high,0.6407411631595799,44,3,22,2,95,1,21,0,1,1,2.027335,1
378,1,p4x4,1,0.9844437172708528,0,11,0,-2,18.518682570557125,5:-5,temporal,0,440,1,hex,33,0,1,none,0,high,0.6407411631595799,44,4,92,2,80,11,11,2,0,0,0.694433,0
2295,1,all,3,1.8245416022471044,0,9,1,-12,18.518682570557125,5:-5,spatial,0,440,4,hex,41,0,1,none,1,high,0.6407411631595799,44,3,22,2,95,1,21,0,1,1,2.012962,1
378,1,p4x4,1,0.9844437172708528,2,11,0,8,18.518682570557125,5:-5,spatial,0,440,1,hex,33,1,1,none,1,high,0.6407411631595799,44,3,22,2,95,1,21,2,0,1,2.027335,1
2120,1,p4x4,1,0.9844437172708528,2,11,0,0,18.518682570557125,5:-5,spatial,0,151,4,dia,33,1,1,none,0,high,0.6407411631595799,44,4,155,2,80,11,11,2,0,0,2.012962,1
76,0,p8x8,3,1.997601325586333,1,12,0,8,38.687654164818326,5:-5,spatial,0,440,4,hex,33,1,1,none,1,high,0.6407411631595799,44,3,22,2,95,2,21,0,1,0,2.012962,1
378,1,p8x8,1,0.9844437172708528,1,9,1,-12,18.518682570557125,5:-5,spatial,0,440,4,hex,41,0,1,none,1,high,0.6407411631595799,44,3,22,2,95,1,21,0,1,1,2.012962,1
378,1,p4x4,0,0.9844437172708528,2,11,0,-7,18.518682570557125,5:-5,spatial,0,440,1,hex,33,1,1,none,0,high,0.128052689104238,44,4,155,2,80,11,11,2,0,0,2.025555,1
2120,1,p4x4,1,0.9844437172708528,2,5,0,0,18.518682570557125,5:-5,spatial,0,151,4,dia,53,1,1,none,1,high,0.6407411631595799,44,3,22,2,95,1,21,2,0,1,2.025555,1
378,1,all,1,0.9844437172708528,0,11,0,8,18.518682570557125,5:-5,spatial,0,440,1,hex,33,0,1,none,1,high,0.6407411631595799,44,3,22,2,95,1,33,2,1,1,2.040172,1
